"Campaign","Campaign Type","Campaign Daily Budget","Bid Strategy Type","Networks","Languages","Location","Campaign Status","Ad Group","Default Max. CPC","Ad Group Status","Criterion Type","Keyword","Match Type","Ad Type","Headline 1","Headline 2","Headline 3","Headline 4","Headline 5","Headline 6","Headline 7","Headline 8","Headline 9","Headline 10","Headline 11","Headline 12","Description 1","Description 2","Description 3","Description 4","Final URL","Path 1","Path 2","Status"
"Claude Partners - OF | Search","Réseau de Recherche","30.00","Maximiser les clics","Recherche Google","Français","France","Activé","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","Marketing & SEO OF","","","","","","Annonce responsive sur le Réseau de Recherche","Le SEO de votre OF, délégué","Plus de stagiaires via Google","Référencez votre organisme","Marketing & SEO pour OF","Remplissez vos sessions","Spécialistes des OF","3-4x moins cher qu'une agence","Audit offert, sans engagement","Une équipe IA pour votre OF","Pub Google pour votre OF","4 experts, un prix imbattable","Attirez des candidats","On fait remonter votre organisme sur Google et on attire des candidats qualifiés.","Campagnes Google Ads pilotées pour remplir vos sessions, sans gaspiller le budget.","SEO, SEA, site : le marketing de votre OF délégué, 3 à 4x moins cher qu'une agence.","Audit offert et sans engagement : repartez avec une feuille de route chiffrée.","https://claudepartners.fr/services/seo/","SEO","formation","Activé"
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","gratuit","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","gratuitement","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","salaire","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","emploi","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","metier","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","definition","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","c'est quoi","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","exemple","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","modele","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","pdf","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","excel","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","cpf","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","pole emploi","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","mon compte formation","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","devenir formateur","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","cours gratuit","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","open source","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","tuto","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","tutoriel","Requête large","","","","","","","","","","","","","","","","","","","","",""
"Claude Partners - OF | Search","","","","","","","","","","","Mot clé à exclure","wikipedia","Requête large","","","","","","","","","","","","","","","","","","","","",""
